"district_name","condition","pre_mean","pre_std","pre_mean_pct","post_mean","post_std","post_mean_pct","p_value"
"Adilabad","ane",7.6,1.2,75.7,8.7,1.1,87,0.001802
"Adilabad","aph",4.3,1.3,42.7,6.2,2.1,61.8,0.000959
"Adilabad","gdm",5.7,1.7,57.4,7.6,1.5,75.7,0.00039
"Adilabad","htn",6.8,1.6,68.3,7.3,1.4,73.5,0.23872
"Adilabad","qanc",8.3,1.2,83.5,8.5,1,85.2,0.586498
"Bhadradri Kothagudem","ane",7.1,1.8,70.6,8.7,1.1,87.1,7.9e-05
"Bhadradri Kothagudem","aph",5,1.4,50,6.3,1.5,63,0.001707
"Bhadradri Kothagudem","gdm",6.4,2,63.9,8,1.1,80.4,0.000419
"Bhadradri Kothagudem","htn",6.9,1.7,68.9,7.2,1.4,71.8,0.491896
"Bhadradri Kothagudem","qanc",8,1.5,79.7,8.6,1,86,0.060011
"Hyderabad","ane",7.7,1.6,77.5,8.6,1.3,86.1,0.001775
"Hyderabad","aph",5.7,1.8,56.5,7.1,1.5,71.3,4.1e-05
"Hyderabad","gdm",6.3,1.7,62.6,8.9,1.2,88.9,0
"Hyderabad","htn",7.2,1.4,71.6,7.5,1.5,75.2,0.220904
"Hyderabad","qanc",8.1,1.3,81.3,8.7,1.2,87,0.030126
"Jagtial","ane",7.2,2,72.1,7.9,1.3,79.3,0.272471
"Jagtial","aph",5.9,1.8,59.2,6.6,1.1,66.2,0.244228
"Jagtial","gdm",6.4,1.7,64.2,6.6,1.8,65.8,0.818304
"Jagtial","htn",6,1.2,60,6.9,1.4,68.6,0.099312
"Jagtial","qanc",8.3,0.8,82.7,8.7,0.6,87.3,0.154797
"Jangaon","ane",6.1,1.8,60.8,7.2,1.1,71.5,0.088981
"Jangaon","aph",4.7,1.4,46.7,5.8,1.6,57.5,0.095233
"Jangaon","gdm",4.6,1.5,46.4,7.6,1.5,75.7,1.7e-05
"Jangaon","htn",5.5,1.6,55,6.9,1.6,69.2,0.043811
"Jangaon","qanc",8.1,1.5,80.7,9,1.4,90,0.10297
"Jayashankar Bhupalpally","ane",6.9,1.9,69.2,8.2,1,81.5,0.052008
"Jayashankar Bhupalpally","aph",5.3,1.9,52.9,6.6,1.3,66.4,0.036351
"Jayashankar Bhupalpally","gdm",5.4,1.6,53.8,8.1,1.8,80.8,0.000438
"Jayashankar Bhupalpally","htn",7.1,1.3,70.8,8.1,1.1,80.8,0.054374
"Jayashankar Bhupalpally","qanc",9.2,1,91.7,9.6,0.9,95.8,0.303005
"Jogulamba Gadwal","ane",7.5,1.2,75,7.8,1.1,78,0.569285
"Jogulamba Gadwal","aph",4.7,1.8,47,6.5,1.4,65,0.022699
"Jogulamba Gadwal","gdm",5.8,1.4,57.8,7,1.1,70,0.05777
"Jogulamba Gadwal","htn",6,1.2,60,6.7,1.5,67,0.270831
"Jogulamba Gadwal","qanc",7.6,1.3,76,8.5,1.3,85,0.129644
"Kamareddy","ane",7.3,0.9,72.8,8.7,1.3,86.7,0.000713
"Kamareddy","aph",4.8,1.3,47.8,6.6,1.3,66.1,0.000165
"Kamareddy","gdm",5.4,1.3,53.7,7.2,1.3,71.6,0.000221
"Kamareddy","htn",6.2,0.9,61.8,8.2,0.9,81.8,0
"Kamareddy","qanc",7.9,1.2,78.9,8.7,1,86.7,0.047741
"Karimnagar","ane",7.1,2.2,71.4,8.2,2,81.9,0.113373
"Karimnagar","aph",4.5,1.9,44.5,6,1.6,60.5,0.004377
"Karimnagar","gdm",6,1.4,60.5,8,1.9,80.5,0.000289
"Karimnagar","htn",6.4,1.2,63.7,7,1.1,70,0.067781
"Karimnagar","qanc",7.7,1.7,76.7,8.1,1.1,80.8,0.316641
"Khammam","ane",7.6,1.1,76.2,8.5,1.1,84.8,0.004838
"Khammam","aph",5.1,1.4,51.2,7.1,1.4,71.2,0
"Khammam","gdm",6.4,1.5,63.6,8.1,1.5,80.7,0.006908
"Khammam","htn",6.7,1.4,67.1,7.4,0.8,74.3,0.115703
"Khammam","qanc",8.5,0.8,84.6,9,1,90,0.050201
"Komaram Bheem Asifabad","ane",8.3,1.3,83.1,9,0.7,90,0.09853
"Komaram Bheem Asifabad","aph",5.5,1.4,55.3,7.5,1.1,75.3,0.000121
"Komaram Bheem Asifabad","gdm",5.3,1.2,53.3,7.7,1.2,77.3,5e-06
"Komaram Bheem Asifabad","htn",7,1.6,70,8.5,0.7,85.4,0.006275
"Komaram Bheem Asifabad","qanc",8.7,0.9,86.7,8.9,0.9,89.2,0.500513
"Mahabubabad","ane",7.6,1.4,76.1,8.1,0.8,80.6,0.257816
"Mahabubabad","aph",5.1,1.3,50.6,6.8,1,67.8,0.000101
"Mahabubabad","gdm",6.4,1.5,63.5,8.1,0.8,80.6,0.000477
"Mahabubabad","htn",7.4,1.5,74.4,6.4,1.9,64.4,0.094269
"Mahabubabad","qanc",8.7,1.2,86.9,9,0.8,90,0.41015
"Mahabubnagar","ane",6.9,1.4,69,8.3,1,82.9,0.000853
"Mahabubnagar","aph",4.8,1.3,47.9,7.1,1,71.1,1e-06
"Mahabubnagar","gdm",6,1.5,59.5,8.9,0.9,89.1,0
"Mahabubnagar","htn",6.8,1.5,68.1,7.4,1.8,74.3,0.234545
"Mahabubnagar","qanc",7.8,1.3,77.7,8.4,1,84.1,0.08321
"Mancherial","ane",8,1.5,79.5,8.7,1.3,87.1,0.079535
"Mancherial","aph",4.7,1.1,47.1,6.8,1.5,67.6,1.1e-05
"Mancherial","gdm",6.5,1.6,64.8,8.5,1.6,85.2,0.000151
"Mancherial","htn",6.3,1.3,62.9,7.2,1.6,71.9,0.054587
"Mancherial","qanc",7.4,1.5,74.3,8.7,1.2,86.7,0.006539
"Medak","ane",7.5,1.4,74.8,8,1,79.5,0.223881
"Medak","aph",5.7,1.7,57.2,6.7,1.3,67.2,0.055053
"Medak","gdm",7.1,1.8,71.1,7.5,1.7,74.7,0.517274
"Medak","htn",6.9,1.7,69.4,7.7,1.1,76.7,0.133313
"Medak","qanc",8.9,1.1,88.7,8.7,1.1,87.3,0.74523
"Medchal Malkajgiri","ane",7.7,1.4,76.8,8.5,1.3,85.5,0.014149
"Medchal Malkajgiri","aph",6.2,1.8,62.1,6.9,1.2,69.3,0.087206
"Medchal Malkajgiri","gdm",6.9,1.9,68.8,8.3,1.6,83.5,0.004539
"Medchal Malkajgiri","htn",6.8,1.5,68.2,7.3,1.6,72.7,0.240524
"Medchal Malkajgiri","qanc",7.9,1.6,79.3,9.1,1.2,91,0.002692
"Mulugu","ane",6,1.8,60,7.8,1.3,78.3,0.073928
"Mulugu","aph",5.2,1.5,52,7.1,1.2,71,0.005613
"Mulugu","gdm",5.7,1.9,56.7,6.6,1.8,65.6,0.329496
"Mulugu","htn",6.3,2.3,63.3,6.5,1.9,65,0.851186
"Mulugu","qanc",8.1,0.9,81,8.2,0.9,82,0.806082
"Nagarkurnool","ane",7.4,1.5,73.5,7.9,1.5,78.8,0.316591
"Nagarkurnool","aph",4.3,1.7,42.9,7.5,1.2,74.7,1e-06
"Nagarkurnool","gdm",5.9,1.1,59.4,8.3,1.2,83.3,0
"Nagarkurnool","htn",7,1.4,70,7.7,1.7,76.9,0.217584
"Nagarkurnool","qanc",7.5,1.5,75,8.6,1,85.6,0.024789
"Nalgonda","ane",7.4,1.8,73.7,8.2,1.1,81.8,0.007294
"Nalgonda","aph",5.4,1.6,54.5,7.6,1.2,75.5,0
"Nalgonda","gdm",6.6,1.8,66.2,9,0.8,90.2,0
"Nalgonda","htn",6.9,1.5,69,7.7,1.3,77.3,0.005058
"Nalgonda","qanc",8.5,1.3,85.4,8.1,1.3,81.5,0.137946
